,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
1402,surulere,Odogbolu Street off Emmanuel bustop Aguda Surulere Lagos,3 beds 2 baths 2 Toilets,3,2,2,Very spacious and decent 3bedroom apartment in a lovely and serene neighborhood,850000,,1EJXU,"Updated 20 Apr 2021, Added 04 Mar 2021",,,
1403,surulere,Iponri estateIponri Surulere Lagos,3 beds 3 baths 4 Toilets,3,3,4,Lovely and spacious 3bedroom apartment in a serene and secured neighborhood with rooms en-suite,1000000,,7ELCB,"Updated 20 Apr 2021, Added 17 Mar 2021",,3 Bedroom,"A lovely and spacious 3bedroom apartment upstairs in a serene and secured neighborhood with constant water, light, tiles, wardrobes, kitchen cabinet, tiles, fenced and gated, parking lot, etc"
1405,surulere,brown roadAguda Surulere Lagos,beds baths Toilets,0,0,0,A room self contain,300000,,2CBXU,"Updated 20 Apr 2021, Added 14 Mar 2019",,,
1406,surulere,Off Western avenueWestern Avenue Surulere Lagos,2 beds 2 baths 2 Toilets,2,2,2,2 bedrooms flat,1000000,,0CDFY,"Updated 20 Apr 2021, Added 11 Apr 2019",Newly Built,,
1407,surulere,bishopOjuelegba Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedrooms flat,800000,,8CDVC,"Updated 20 Apr 2021, Added 21 Apr 2019",,"2 Bedrooms
D","2 bedroom flat for rent, all rooms en suite newly built, on bishop"
1409,surulere,Adeniji closeRandle Avenue Surulere Lagos,3 beds 4 baths 4 Toilets,3,4,4,2 bedroom flats for rent,1200000,,7CBBQ,"Updated 20 Apr 2021, Added 22 Feb 2019",Furnished Newly Built,,
1410,surulere,On bishopOjuelegba Surulere Lagos,2 beds 2 baths 2 Toilets,2,2,2,A Block of 4 flat 2 bedroom new renovated house,800000,,H5240,"Updated 20 Apr 2021, Added 20 Aug 2017",,,
1428,surulere,oni streetRandle Avenue Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedroom flat,1000000,,1CAYW,"Updated 20 Apr 2021, Added 20 Feb 2019",,"Water Treatment
Supermarket Nearby
Restaurants Nearby
Security doors
3 Bedrooms
Cheap
D","3 bedroom flat at randle venue surulere,a block of six flat"
1429,surulere,off ishaga roadLawanson Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedroom flats,1500000,,3CAZB,"Updated 20 Apr 2021, Added 20 Feb 2019",,"POP Ceiling
Security
Water Treatment
Supermarket Nearby
Street Lights
Restaurants Nearby
3 Bedrooms
Dry
Renovated",all room en suites a blocks 4 flats of 3bedroom flats on adeniji close surulere
1431,surulere,AborisadeLawanson Surulere Lagos,2 beds 3 baths 3 Toilets,2,3,3,2bedroom flat for rent,700000,,7DCJS,"Updated 20 Apr 2021, Added 17 Mar 2020",Newly Built,"2 Bedrooms
New",2bedroom flat for rent @newly built Aborisade lawanson Surulere (one and half years)
1433,surulere,Off lawasonLawanson Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedrooms flat,900000,,3CDVC,"Updated 20 Apr 2021, Added 21 Apr 2019",,"3 Bedrooms
D",Newly built 3 bedroom flat [email protected] all rooms en suite 2yrs
