,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
9380,yaba,Akoka Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,Very lovely & executive 2bedroom flat in Akoka upstairs good finishing 700kx1yr rent,700000.0,,0CTDK,"Updated 15 Jan 2020, Added 30 Oct 2019",,,
9381,yaba,Adekunle Yaba Lagos,1 beds 1 baths 2 Toilets,1,1,2,Now open for viewing!!! Executive & recently built miniflat upstairs in adekunle 600kx1yr rent required total package 890k,600000.0,,7CTXJ,"Updated 15 Jan 2020, Added 11 Nov 2019",,,
9382,yaba,Ebute meta westEbute Metta Yaba Lagos,2 beds baths Toilets,2,0,0,"2 bedroom flat @ apapa rd, ebute metta west, 600k, a year rent",600000.0,,1CTKH,"Updated 15 Jan 2020, Added 02 Nov 2019",Newly Built,"2 Bedrooms
New","2 bedroom flat @ apapa rd, ebute metta west, 600k, a year rent, a/c 100,100, caution 50k."
9384,yaba,Fola Agoro Yaba Lagos,4 beds baths Toilets,4,0,0,very clean and spacious newly built 4 Bedroom duplex @ Folagoro 2.5m p.a,2500000.0,,0CPYL,"Updated 15 Jan 2020, Added 16 Sep 2019",Newly Built,"Security
POP Ceiling
Parking Space
Security doors
Drainage System
All Room Ensuit
Big Compound
4 Bedrooms
New","Semi direct brief

A very clean and spacious newly built 4 Bedroom duplex @ Folagoro,
just 2 tenant inside the compound, all rooms ensuit and visitors toilet, with water heater, very big kitchen

4 bedroom 2.5 million / annum.
A year rent."
9387,yaba,Off apapa roadEbute Metta Yaba Lagos,3 beds baths Toilets,3,0,0,3bedeoom flat off abule NLA road 1m per annum,1000000.0,,2CRPX,"Updated 15 Jan 2020, Added 07 Oct 2019",,,
9388,yaba,Off OluwadareFola Agoro Yaba Lagos,1 beds 2 baths 2 Toilets,1,2,2,Mini flat With Extra Study Room and Guest Toilet At Folagoro Yaba Lagos Rent 600k.,600000.0,,0CSDN,"Updated 15 Jan 2020, Added 15 Oct 2019",,,
9389,yaba,Sabo Yaba Lagos,3 beds baths Toilets,3,0,0,"Lovely And Spacious 3bedroom Office Space @ Sabo, Yaba, Off Herbert Macaulay way, Mainly For Commercial, Lagos, in a block of 4flats in the compound, ground floor, front flat",2500000.0,,7CTY,"Updated 15 Jan 2020, Added 12 Nov 2019",,,
9390,yaba,Ebute Metta Yaba Lagos,1 beds 2 baths 2 Toilets,1,2,2,"Brand Newly Built Mini Flat @ E/Metta West, Lagos, with 2toilets and bath",500000.0,,8CWPZ,"Updated 15 Jan 2020, Added 04 Jan 2020",Newly Built,"All Room Ensuit
Drainage System
Big Compound
1 Bedrooms
New","A Brand Newly Built Mini Flat @ E/Metta West, Lagos, with 2toilets and bath, in a block of flats, upstairs, 1st floor, in a gated compound, with good electricity as well as security guard in the compound, #500k x a year n half."
9393,yaba,Onike Yaba Lagos,3 beds 2 baths 3 Toilets,3,2,3,"Fresh Letting Renovated 3 bedrooms up & down flat, 3toilet 2 bath, all tiled @ Onike Sabo Yaba 1M 1yr",1000000.0,,5CVGY,"Updated 15 Jan 2020, Added 04 Dec 2019",,,
9394,yaba,Sabo Yaba Lagos,2 beds baths Toilets,2,0,0,Lovely 2bedroom flat behind ozone upstairs 800k 1yr Rent required,800000.0,,8CWB,"Updated 15 Jan 2020, Added 18 Dec 2019",,2 Bedroom,Lovely 2bedroom flat behind ozone upstairs 800k 1yr Rent required
9397,yaba,Akoka Yaba Lagos,2 beds 2 baths 2 Toilets,2,2,2,"Decent & renovated spacious 2bedroom flat in a block of 4 flats with parking space, ground floor front flat, gated compound",650000.0,,6CUXQ,"Updated 15 Jan 2020, Added 27 Nov 2019",,"Security
Security doors
Drainage System
Big Compound
2 Bedroom","Decent & renovated spacious 2bedroom flat in a block of 4 flats with parking space, ground floor front flat, gated compound, with 2t/2b, 650k one yr rent
Location: Akoka, Yaba
Breakdown
Rent 650k
Legal 100k
Agency 130k
Refundable damages 50k
Total package 930k"
9399,yaba,Off Isaac John Jibowu Yaba Lagos,beds 1 baths 1 Toilets,0,1,1,Decent roomself off Issac john street 270kx1yr rent with car park,270000.0,,9CTSH,"Updated 15 Jan 2020, Added 07 Nov 2019",,,Decent roomself off Issac john street 270kx1yr rent with car park
9400,yaba,Ebute meta westEbute Metta Yaba Lagos,3 beds baths Toilets,3,0,0,Decent 3bedroom duplex off apapa road 1.2m per annum,1200000.0,,0CRPX,"Updated 15 Jan 2020, Added 07 Oct 2019",,3 Bedroom,Decent 3bedroom duplex off apapa road 1.2m per annum pay & park in
9426,yaba,Old Yaba roadAdekunle Yaba Lagos,beds baths Toilets,0,0,0,Newly built & spacious shop space on Old Yaba road to be ready by Dec. 2019 ending 700kx2yrs rent required upfront,700000.0,,3CSXB,"Updated 15 Jan 2020, Added 26 Oct 2019",Newly Built,"Supermarket Nearby
Street Lights
Security doors
Drainage System
New",Newly built & spacious shop space on Old Yaba road to be ready by Dec. 2019 ending 700kx2yrs rent required upfront
9427,yaba,Ebute Metta Yaba Lagos,beds 1 baths 1 Toilets,0,1,1,Newly built roomself in ebute meta 250kx1yr & half rent,250000.0,,3CSQR,"Updated 15 Jan 2020, Added 22 Oct 2019",Newly Built,New,"Newly built roomself in ebute meta 250kx1yr & half rent
Agency & legal150k
Total package 525k"
9428,yaba,Onike Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,Spacious 2bedroom Flat at onike yaba...nice area and good environment just two people in compound,1200000.0,,9CWGS,"Updated 15 Jan 2020, Added 25 Dec 2019",,"POP Ceiling
Security
Street Lights
Parking Space
Security doors
All Room Ensuit
Big Compound
2 Bedroom","YABA LETTING
Just out

Spacious 2bedroom Flat at onike yaba...nice area and good environment just two people in compound

Rent 1.2million"
9429,yaba,Ebute meta eastEbute Metta Yaba Lagos,2 beds 2 baths 1 Toilets,2,2,1,Hot letting!!! 2bedroom flat at lbadan st ebute meta east 2toilet 2bathroom #800.000*1y rent,800000.0,,1CSPR,"Updated 15 Jan 2020, Added 21 Oct 2019",,,
9430,yaba,Alagomeji Yaba Lagos,1 beds 1 baths 1 Toilets,1,1,1,"Spacious & partly serviced miniflat in alagomeji Yaba with 1t/1b, prepaid metre, upstairs",600000.0,,2CQPA,"Updated 15 Jan 2020, Added 23 Sep 2019",,"Security
Street Lights
Supermarket Nearby
Children Play Ground
24 Hours Security
Parking Space
Security doors
Big Compound
1 Bedroom","Spacious & partly serviced miniflat in alagomeji Yaba with 1t/1b, prepaid metre, upstairs, easily accessible to third mainland , clean compound, & serene neighborhood.

600kx1yr rent
Service charge 100k"
9431,yaba,Off university roadAbule Oja Yaba Lagos,10 beds baths Toilets,0,0,0,"Still available! For Lease! A vacant bungalow on a full plot of land(comprising of 10 rooms) at off unilag rd,Abule oja. Price: #3m for the minimum of 5yrs.",3000000.0,,8CSF,"Updated 15 Jan 2020, Added 16 Oct 2019",,,
